DN,DIST,Hash,PERSONNEL,OFF PLAY,FRONT,COV,Def Front,stunt,Blitz,Coverage,Peel,CV TYPE
,,,,,,,,,,,,
2,8,L,15B,Y-FLY SP RT X-PILE 60 CHEROKEE HARPOON (96),GAP,BANJO,GAP,,,BANJO,,
1,10,L,15B,Y-FLY R-SHAVE SP RT 60 SHIRLEY X-SPACING (92),BANDIT,TEFFLON,BANDIT,,,TEFF,,
2,7,LM,15B,Y-FLY WK SP RT WAR 61 HALIFAX (121),BANDIT,YEL SW,BANDIT,,,YEL SW,,
2,10,R,15B,Y-FLY SP RT X-PILE 60 BRAVES BENCH (97),IN,HALO,IN,,,HALO,,
1,10,R,15B,YR-TANGO QUADS RT 75 STAY X-STEM R-CROW IPOD (91),IN A ,RED SNAKE,IN,A,,RED SNAKE,,
2,8,L,15B,Y-FLY SP RT X-PILE 60 CHEROKEE HARPOON (96),BANDIT,DEUCES,BANDIT,,,DEUCES,,
2,7,L,15B,Y-FLY WK SP RT WAR 61 HALIFAX (121),BANDIT,BINGO,BANDIT,,,BINGO,,
2,10,RM,15B,Y-FLY SP RT X-PILE 60 BRAVES BENCH (97),BANDIT,HALO CUT,BANDIT,,,HALO CUT,,
1,10,R,15B,YR-TANGO QUADS RT 75 STAY X-STEM R-CROW IPOD (91),IN A ,RED CHECK,IN,A,,RED,,
2,8,R,15B,Y-FLY SP RT X-PILE 60 CHEROKEE HARPOON (96),GAP,TUFF,GAP,,,TUFF,,
2,10,L,15B,Y-FLY WK SP RT WAR 61 HALIFAX (121),BANDIT,TOONIE,BANDIT,,,TOONIE,,
2,7,L,15B,YR-WALTZ SP RT WHIP 75 STAY COUCH W-CROW Z-APACHE (101),GAP,BANJO,GAP,,,BANJO,,
1,10,LM,15B,Y-FLY R-SHAVE SP RT 60 SHIRLEY X-SPACING (92),IN A ,SNIFF SAM MATCH,IN,A,,SNI S M,,
2,8,R,15B,Y-FLY SP RT X-PILE 60 BRAVES BENCH (97),OUT A/K,ROT SW,OUT,A/K,,ROT SW,,
2,8,R,15B,YR-WALTZ SP RT WHIP 75 STAY COUCH W-CROW Z-APACHE (101),BANDIT,2 FLIP,BANDIT,,,2FLIP,,
2,10,L,15B,Y-FLY WK SP RT WAR 61 HALIFAX (121),BANDIT,PIPES,BANDIT,,,PIPES,,
1,10,L,15B,YR-TANGO QUADS RT 75 STAY X-STEM R-CROW IPOD (91),IN A ,DEUCES,IN,A,,DEUCES,,
2,7,RM,15B,YR-WALTZ SP RT WHIP 75 STAY COUCH W-CROW Z-APACHE (101),JOKER,CAT,JK,,,CAT,,
,,,,,,,,,,,,
1,10,L,15B,YR-WALTZ SP RT 3 R-ZAP COLONEL Y-SILVER (15),OUTLAW,ZORRO PEEL,OUT EVEN or EVEN STING,,OUTL,ZORRO,,
2,8,L,15B,WK SP RT WAX 74 DIRT (124),MUD MISTICAL,BLACK PEEL,MUD,,,BLK,,
1,10,LM,15B,YX-SALSA RIP SP RT 7 Y-BOSS (27),JOK STR,HOLD,JK ST,,,HOLD,,
2,4,R,15B,(FIB) SP LT WAX 3 ZAP ROCKER X-LION (12),50 W W,BLACK O,50 W,,,BLK,,
2,10,R,15B,Y-FLOAT R-DISCO QDS RT 60 S-LIGHT R-RAM (129),STR MUD MAN,CLEVAGE,MUD,,MUD MAN MUD MAN,CLV,,
1,10,L,15B,Y-FLOAT R-DISCO QDS LT HOT 61 STICK WALL X-SIT (63),IN A ,TUFF,IN,A,,TUFF,,
2,8,L,15B,YR-WALTZ SP RT WHIP 75 STAY COUCH W-CROW Z-APACHE (101),STRONG JAR,SPIN,30 STR,,JAR,SPIN,,
2,7,RM,15B,Y-FLY SP RT X-PILE 60 BRAVES BENCH (97),BANDIT,YEL SW,BANDIT,,,YEL SW,,
1,10,R,15B,YR-WALTZ SP RT 2 W-WHAM (1),CB D JET,HOLD,CB D CB D,,JET,HOLD,,
2,6,R,15B,YOYO SP RT X-PILE 60 AL X-ZOOM (94),MILF,BLACK PEEL,BANDIT,,MILF,BLK,,
2,3,L,15B,YR-TANGO WHIP QDS RT (R-CASPER GIVE) 2 Y-WRAP (3),CB D TAXI,BLACK M,CB D,TAXI,,BLK,,
1,10,L,15B,Y-FLOAT R-DISCO QDS RT HOT 60 STICK WALL X-SIT (63),OUT A,RED SNAKE,OUT,A,,RED SNAKE,,
2,10,LM,15B,Y-FLY WK SP RT WAR 61 HALIFAX (121),TAR/NOSE,BANJO,OUT,TAR/NOSE,,BANJO,,
2,7,R,15B,YR-WALTZ SP RT WHIP 75 STAY COUCH W-CROW Z-APACHE (101),WAFFLE,COMBO,BANDIT,,WAFFLE,COMBO,,
1,10,R,15B,SP RT RAY Y-TUFF FLEX 32 S-SPEEDO Y-ARC  (25),OUTLAW,ZORRO PEEL,OUT EVEN or EVEN STING,,OUTL,ZORRO,,
2,4,L,15B,(FIB) SP LT WAX 3 ZAP ROCKER X-LION (12),RS DE WEEP,BLACK,RS D,WEEP,,BLK,,
2,6,L,15B,YOYO SP RT X-PILE 60 AL X-ZOOM (94),BANDIT,2 FLIP,BANDIT,,,2FLIP,,
2,5,LM,15B,YR-WALTZ SP RT Y-STACK 60 FRESNO S-WIDE (123),BANDIT,BINGO,BANDIT,,,BINGO,,
1,10,RM,15B,YR-WALTZ SP RT 3 R-ZAP COLONEL Y-SILVER (15),SMURF,ORANGE,BANDIT,,SMURF,ORANGE,,
2,8,R,15B,Y-FLOAT R-DISCO QDS RT 60 S-LIGHT R-RAM (129),IN A ,RED CHECK,IN,A,,RED,,
2,10,R,15B,WK SP RT WAX 74 DIRT (124),JOK,CAT,JK,,,CAT,,
